Date,Description,Amount,Reference
2025-01-15,Starbucks Coffee Purchase,-4.50,
2025-01-16,Client Payment Received,1000.00,INV-001
2025-01-17,Office Depot Supplies,-125.00,
2025-01-18,Amazon Web Services,-89.50,
2025-01-19,Comcast Internet Service,-79.99,
2025-01-20,Shell Gas Station,-45.00,
2025-01-21,Costco Wholesale,-234.56,
2025-01-22,Square Payment Processing,2500.00,INV-002
2025-01-23,AT&T Mobile Service,-120.00,
2025-01-24,FedEx Shipping,-35.75,
2025-01-25,Zoom Video Communications,-14.99,
2025-01-26,Google Workspace,-12.00,
2025-01-27,Adobe Creative Cloud,-54.99,
2025-01-28,Walmart Superstore,-87.32,
2025-01-29,Client Deposit,1500.00,INV-003
